framework,algorithm,p,signal_types
WEKA,NB,92.8571,WIFI
WEKA,RF,92.8571,"BLUETOOTH,GSM"
JSAT,NB,92.8571,"WIFI,BLUETOOTH"
WEKA,RF,85.7143,"WIFI,GSM"
JSAT,NB,85.7143,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,85.7143,WIFI
JSAT,RF,85.7143,"WIFI,GSM"
WEKA,RF,85.7143,"WIFI,BLUETOOTH,GSM"
WEKA,NB,85.7143,"WIFI,BLUETOOTH"
JSAT,NB,78.5714,BLUETOOTH
WEKA,RF,78.5714,"WIFI,BLUETOOTH"
WEKA,NB,78.5714,"WIFI,GSM"
JAVAML,RF,78.5714,"WIFI,BLUETOOTH,GSM"
WEKA,NB,78.5714,"WIFI,BLUETOOTH,GSM"
JSAT,RF,78.5714,"WIFI,BLUETOOTH,GSM"
JSAT,RF,78.5714,BLUETOOTH
JAVAML,NB,78.5714,BLUETOOTH
JSAT,RF,71.4286,WIFI
JAVAML,NB,71.4286,WIFI
JAVAML,KNN,71.4286,BLUETOOTH
WEKA,KNN,71.4286,WIFI
JSAT,NB,71.4286,WIFI
JAVAML,RF,71.4286,"WIFI,BLUETOOTH"
JSAT,NB,71.4286,"BLUETOOTH,GSM"
JSAT,RF,71.4286,"WIFI,BLUETOOTH"
JSAT,KNN,71.4286,WIFI
WEKA,KNN,71.4286,"WIFI,BLUETOOTH"
JAVAML,RF,71.4286,WIFI
WEKA,KNN,64.2857,BLUETOOTH
JAVAML,RF,64.2857,"BLUETOOTH,GSM"
WEKA,NB,64.2857,"BLUETOOTH,GSM"
JSAT,RF,64.2857,"BLUETOOTH,GSM"
JAVAML,RF,64.2857,"WIFI,GSM"
JSAT,KNN,64.2857,BLUETOOTH
JAVAML,NB,64.2857,"WIFI,BLUETOOTH"
WEKA,RF,64.2857,WIFI
JSAT,NB,64.2857,"WIFI,GSM"
JAVAML,NB,64.2857,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,64.2857,"WIFI,BLUETOOTH"
JSAT,KNN,57.1429,"WIFI,GSM"
JSAT,KNN,57.1429,"WIFI,BLUETOOTH"
WEKA,RF,57.1429,BLUETOOTH
JAVAML,RF,57.1429,BLUETOOTH
WEKA,NB,57.1429,BLUETOOTH
JSAT,NB,57.1429,GSM
WEKA,RF,50.0000,GSM
JSAT,KNN,50.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,50.0000,"WIFI,GSM"
JAVAML,KNN,50.0000,"WIFI,GSM"
JSAT,KNN,50.0000,"BLUETOOTH,GSM"
WEKA,KNN,42.8571,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,42.8571,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,42.8571,"BLUETOOTH,GSM"
WEKA,KNN,35.7143,"BLUETOOTH,GSM"
WEKA,KNN,35.7143,"WIFI,GSM"
JAVAML,RF,28.5714,GSM
WEKA,KNN,28.5714,GSM
WEKA,NB,21.4286,GSM
JSAT,RF,21.4286,GSM
JAVAML,KNN,7.1429,GSM
JAVAML,NB,7.1429,"BLUETOOTH,GSM"
JSAT,KNN,7.1429,GSM
