framework,cell_distance
JAVAML,19.1049731745428
JAVAML,2.23606797749979
JAVAML,4.123105625617661
JAVAML,2
JAVAML,0
JAVAML,5
JAVAML,4
JAVAML,6.082762530298219
JAVAML,2
JAVAML,7.280109889280518
JAVAML,1
JAVAML,23.021728866442675
JAVAML,6
JAVAML,19.026297590440446
JAVAML,18.027756377319946
JAVAML,6.082762530298219
JAVAML,5
JAVAML,7.280109889280518
JAVAML,5.0990195135927845
JAVAML,4.123105625617661
JAVAML,1
JAVAML,0
JAVAML,1.4142135623730951
JAVAML,4
JAVAML,5.385164807134504
JAVAML,2.23606797749979
JAVAML,5.0990195135927845
JAVAML,8.06225774829855
JAVAML,5.385164807134504
JAVAML,14.142135623730951
JAVAML,0
JAVAML,5.0990195135927845
JAVAML,1.4142135623730951
JAVAML,2.23606797749979
JAVAML,4.47213595499958
JAVAML,7.280109889280518
JAVAML,3.1622776601683795
JAVAML,1
JAVAML,2
JAVAML,2.23606797749979
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,29.068883707497267
JAVAML,30.01666203960727
JAVAML,4.47213595499958
JAVAML,21.02379604162864
JAVAML,0
JAVAML,11
JAVAML,1
JAVAML,0
JAVAML,7.0710678118654755
JSAT,7.280109889280518
JSAT,2.23606797749979
JSAT,4
JSAT,2.8284271247461903
JSAT,3
JSAT,8
JSAT,4
JSAT,1.4142135623730951
JSAT,2
JSAT,2
JSAT,1
JSAT,2
JSAT,0
JSAT,1
JSAT,10
JSAT,2
JSAT,4.47213595499958
JSAT,7.280109889280518
JSAT,5.0990195135927845
JSAT,4.123105625617661
JSAT,1
JSAT,0
JSAT,1.4142135623730951
JSAT,4
JSAT,5.385164807134504
JSAT,2.23606797749979
JSAT,12.041594578792296
JSAT,8.06225774829855
JSAT,4
JSAT,14.142135623730951
JSAT,4
JSAT,5.0990195135927845
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,4.47213595499958
JSAT,7.280109889280518
JSAT,3
JSAT,1
JSAT,2
JSAT,2.23606797749979
JSAT,1
JSAT,4
JSAT,29.068883707497267
JSAT,29.017236257093817
JSAT,12
JSAT,9.055385138137417
JSAT,0
JSAT,11
JSAT,1
JSAT,13.038404810405298
JSAT,2.23606797749979
WEKA,7.280109889280518
WEKA,2.23606797749979
WEKA,13
WEKA,2
WEKA,2.23606797749979
WEKA,8.246211251235321
WEKA,9.055385138137417
WEKA,1
WEKA,2
WEKA,1.4142135623730951
WEKA,1
WEKA,2
WEKA,0
WEKA,1
WEKA,10
WEKA,2
WEKA,4.47213595499958
WEKA,7.280109889280518
WEKA,5.0990195135927845
WEKA,4.123105625617661
WEKA,1
WEKA,0
WEKA,1.4142135623730951
WEKA,2.8284271247461903
WEKA,3
WEKA,2.23606797749979
WEKA,12.041594578792296
WEKA,8.06225774829855
WEKA,2.8284271247461903
WEKA,14.142135623730951
WEKA,1.4142135623730951
WEKA,5.0990195135927845
WEKA,1.4142135623730951
WEKA,2.23606797749979
WEKA,2.23606797749979
WEKA,2
WEKA,5.0990195135927845
WEKA,1.4142135623730951
WEKA,4.123105625617661
WEKA,4
WEKA,0
WEKA,6.324555320336759
WEKA,8.246211251235321
WEKA,9.055385138137417
WEKA,12
WEKA,10.04987562112089
WEKA,0
WEKA,9
WEKA,1
WEKA,13.038404810405298
WEKA,2.23606797749979
