framework,algorithm,p,signal_types
JSAT,NB,92.1569,"WIFI,BLUETOOTH"
WEKA,NB,90.1961,"WIFI,BLUETOOTH"
JSAT,NB,90.1961,"WIFI,BLUETOOTH,GSM"
JSAT,NB,88.2353,"WIFI,GSM"
JSAT,KNN,88.2353,"WIFI,BLUETOOTH"
WEKA,NB,86.2745,"WIFI,BLUETOOTH,GSM"
WEKA,NB,86.2745,WIFI
JSAT,NB,86.2745,WIFI
WEKA,RF,86.2745,"WIFI,BLUETOOTH"
WEKA,KNN,84.3137,"WIFI,BLUETOOTH"
WEKA,KNN,84.3137,WIFI
WEKA,NB,84.3137,"WIFI,GSM"
WEKA,RF,82.3529,"WIFI,GSM"
JSAT,KNN,80.3922,WIFI
WEKA,RF,80.3922,WIFI
JAVAML,RF,80.3922,WIFI
JAVAML,RF,80.3922,"WIFI,BLUETOOTH"
JSAT,NB,80.3922,"BLUETOOTH,GSM"
JSAT,RF,80.3922,"WIFI,BLUETOOTH"
WEKA,RF,78.4314,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,78.4314,"WIFI,BLUETOOTH,GSM"
JSAT,NB,78.4314,BLUETOOTH
JSAT,RF,76.4706,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,76.4706,"WIFI,GSM"
JAVAML,KNN,76.4706,WIFI
JAVAML,NB,74.5098,"WIFI,BLUETOOTH"
WEKA,RF,74.5098,"BLUETOOTH,GSM"
JSAT,RF,74.5098,"WIFI,GSM"
JSAT,RF,72.549,WIFI
JAVAML,KNN,72.549,"WIFI,BLUETOOTH"
JSAT,KNN,70.5882,BLUETOOTH
JAVAML,RF,68.6275,BLUETOOTH
JSAT,RF,68.6275,BLUETOOTH
WEKA,NB,68.6275,BLUETOOTH
JSAT,RF,68.6275,"BLUETOOTH,GSM"
WEKA,KNN,68.6275,BLUETOOTH
WEKA,NB,68.6275,"BLUETOOTH,GSM"
WEKA,RF,64.7059,BLUETOOTH
JAVAML,NB,64.7059,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,64.7059,WIFI
JAVAML,NB,62.7451,BLUETOOTH
JAVAML,KNN,62.7451,BLUETOOTH
JAVAML,RF,58.8235,"BLUETOOTH,GSM"
JAVAML,NB,56.8627,"WIFI,GSM"
JAVAML,KNN,56.8627,"BLUETOOTH,GSM"
JAVAML,KNN,56.8627,"WIFI,GSM"
JAVAML,KNN,56.8627,"WIFI,BLUETOOTH,GSM"
WEKA,RF,56.8627,GSM
JSAT,KNN,54.902,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,54.902,GSM
WEKA,NB,52.9412,GSM
JSAT,KNN,52.9412,"WIFI,GSM"
JSAT,KNN,50.9804,"BLUETOOTH,GSM"
JSAT,NB,50.9804,GSM
WEKA,KNN,49.0196,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,45.098,"BLUETOOTH,GSM"
JSAT,RF,41.1765,GSM
WEKA,KNN,41.1765,"BLUETOOTH,GSM"
WEKA,KNN,41.1765,"WIFI,GSM"
JSAT,KNN,37.2549,GSM
WEKA,KNN,35.2941,GSM
JAVAML,KNN,29.4118,GSM
JAVAML,NB,25.4902,GSM
