framework,algorithm,p,signal_types
JSAT,NB,70.0000,"WIFI,BLUETOOTH"
JSAT,NB,70.0000,"WIFI,BLUETOOTH,GSM"
WEKA,RF,60.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,50.0000,WIFI
JAVAML,KNN,50.0000,BLUETOOTH
JSAT,KNN,50.0000,BLUETOOTH
JAVAML,RF,50.0000,"WIFI,BLUETOOTH"
JSAT,NB,50.0000,"WIFI,GSM"
JSAT,RF,50.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,50.0000,"BLUETOOTH,GSM"
JSAT,RF,40.0000,"BLUETOOTH,GSM"
WEKA,RF,40.0000,"WIFI,GSM"
JSAT,NB,40.0000,"BLUETOOTH,GSM"
JAVAML,RF,40.0000,BLUETOOTH
WEKA,RF,40.0000,WIFI
JAVAML,KNN,40.0000,"WIFI,GSM"
JAVAML,RF,40.0000,WIFI
JSAT,KNN,40.0000,"WIFI,GSM"
JSAT,NB,40.0000,BLUETOOTH
WEKA,NB,30.0000,WIFI
JSAT,KNN,30.0000,GSM
JAVAML,RF,30.0000,"WIFI,GSM"
WEKA,NB,30.0000,"BLUETOOTH,GSM"
JSAT,RF,30.0000,"WIFI,GSM"
WEKA,RF,30.0000,"WIFI,BLUETOOTH"
WEKA,NB,30.0000,"WIFI,GSM"
JSAT,RF,30.0000,"WIFI,BLUETOOTH"
WEKA,KNN,30.0000,"BLUETOOTH,GSM"
WEKA,RF,30.0000,BLUETOOTH
JAVAML,RF,30.0000,"WIFI,BLUETOOTH,GSM"
WEKA,NB,30.0000,"WIFI,BLUETOOTH"
JAVAML,KNN,30.0000,"BLUETOOTH,GSM"
JSAT,KNN,30.0000,"BLUETOOTH,GSM"
JSAT,RF,30.0000,BLUETOOTH
WEKA,KNN,30.0000,"WIFI,GSM"
WEKA,NB,30.0000,"WIFI,BLUETOOTH,GSM"
WEKA,NB,30.0000,BLUETOOTH
JSAT,RF,30.0000,WIFI
WEKA,KNN,30.0000,"WIFI,BLUETOOTH"
JAVAML,KNN,20.0000,GSM
JSAT,KNN,20.0000,"WIFI,BLUETOOTH"
JAVAML,KNN,20.0000,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,20.0000,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,20.0000,WIFI
WEKA,RF,20.0000,GSM
JAVAML,KNN,20.0000,WIFI
JAVAML,RF,20.0000,GSM
JSAT,RF,20.0000,GSM
WEKA,NB,20.0000,GSM
JSAT,NB,20.0000,GSM
WEKA,RF,20.0000,"BLUETOOTH,GSM"
WEKA,KNN,10.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,10.0000,WIFI
WEKA,KNN,10.0000,BLUETOOTH
JAVAML,NB,10.0000,"BLUETOOTH,GSM"
JAVAML,NB,10.0000,"WIFI,GSM"
JSAT,KNN,10.0000,WIFI
JAVAML,NB,10.0000,"WIFI,BLUETOOTH"
JAVAML,NB,10.0000,GSM
JAVAML,NB,10.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,10.0000,BLUETOOTH
WEKA,KNN,10.0000,GSM
JAVAML,KNN,10.0000,"WIFI,BLUETOOTH"
