framework,algorithm,p,signal_types
JSAT,RF,90.1961,"WIFI,BLUETOOTH,GSM"
JSAT,RF,88.2353,"WIFI,GSM"
WEKA,RF,84.3137,WIFI
JSAT,RF,84.3137,WIFI
WEKA,NB,84.3137,WIFI
JSAT,NB,84.3137,WIFI
WEKA,NB,84.3137,"WIFI,GSM"
JAVAML,RF,82.3529,"WIFI,BLUETOOTH,GSM"
JSAT,NB,82.3529,"WIFI,GSM"
JSAT,NB,82.3529,"WIFI,BLUETOOTH,GSM"
WEKA,RF,82.3529,"WIFI,GSM"
JAVAML,RF,82.3529,"WIFI,GSM"
WEKA,RF,82.3529,"WIFI,BLUETOOTH"
JSAT,RF,80.3922,"WIFI,BLUETOOTH"
WEKA,RF,78.4314,"WIFI,BLUETOOTH,GSM"
JSAT,NB,78.4314,"WIFI,BLUETOOTH"
JSAT,KNN,78.4314,"WIFI,BLUETOOTH"
JAVAML,RF,76.4706,"WIFI,BLUETOOTH"
WEKA,RF,74.5098,BLUETOOTH
WEKA,RF,74.5098,"BLUETOOTH,GSM"
JSAT,KNN,74.5098,"WIFI,BLUETOOTH,GSM"
JAVAML,RF,72.549,WIFI
JSAT,KNN,70.5882,WIFI
JAVAML,KNN,70.5882,"WIFI,BLUETOOTH"
JSAT,NB,70.5882,BLUETOOTH
JAVAML,KNN,70.5882,"WIFI,BLUETOOTH,GSM"
JAVAML,KNN,70.5882,BLUETOOTH
JSAT,KNN,70.5882,BLUETOOTH
JSAT,NB,70.5882,"BLUETOOTH,GSM"
JAVAML,KNN,68.6275,"BLUETOOTH,GSM"
WEKA,NB,68.6275,"WIFI,BLUETOOTH,GSM"
WEKA,NB,66.6667,"WIFI,BLUETOOTH"
WEKA,NB,66.6667,"BLUETOOTH,GSM"
JSAT,KNN,64.7059,"BLUETOOTH,GSM"
JSAT,RF,64.7059,BLUETOOTH
JAVAML,RF,62.7451,"BLUETOOTH,GSM"
JSAT,KNN,60.7843,"WIFI,GSM"
JAVAML,KNN,60.7843,WIFI
JAVAML,KNN,58.8235,"WIFI,GSM"
WEKA,NB,56.8627,BLUETOOTH
JSAT,RF,56.8627,"BLUETOOTH,GSM"
WEKA,RF,56.8627,GSM
WEKA,KNN,54.902,"WIFI,GSM"
WEKA,NB,52.9412,GSM
JAVAML,RF,50.9804,BLUETOOTH
JSAT,NB,50.9804,GSM
JSAT,RF,49.0196,GSM
JAVAML,RF,47.0588,GSM
WEKA,KNN,41.1765,"WIFI,BLUETOOTH"
WEKA,KNN,39.2157,"WIFI,BLUETOOTH,GSM"
WEKA,KNN,39.2157,WIFI
JSAT,KNN,37.2549,GSM
WEKA,KNN,35.2941,"BLUETOOTH,GSM"
WEKA,KNN,35.2941,GSM
JAVAML,KNN,31.3725,GSM
WEKA,KNN,31.3725,BLUETOOTH
JAVAML,NB,17.6471,GSM
JAVAML,NB,15.6863,"WIFI,GSM"
JAVAML,NB,15.6863,"WIFI,BLUETOOTH"
JAVAML,NB,15.6863,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,15.6863,WIFI
JAVAML,NB,15.6863,"BLUETOOTH,GSM"
JAVAML,NB,13.7255,BLUETOOTH
