framework,algorithm,p,signal_types
WEKA,KNN,90.0000,"WIFI,BLUETOOTH"
WEKA,KNN,80.0000,BLUETOOTH
JAVAML,RF,80.0000,"WIFI,GSM"
JSAT,NB,80.0000,WIFI
JSAT,NB,80.0000,"WIFI,GSM"
JAVAML,KNN,70.0000,BLUETOOTH
WEKA,RF,70.0000,"WIFI,BLUETOOTH"
JSAT,KNN,70.0000,BLUETOOTH
WEKA,KNN,70.0000,WIFI
JAVAML,RF,70.0000,"WIFI,BLUETOOTH"
JSAT,NB,70.0000,"BLUETOOTH,GSM"
JAVAML,KNN,70.0000,WIFI
WEKA,RF,70.0000,"WIFI,BLUETOOTH,GSM"
WEKA,RF,70.0000,BLUETOOTH
JAVAML,RF,70.0000,BLUETOOTH
JSAT,RF,70.0000,"WIFI,BLUETOOTH,GSM"
JSAT,RF,70.0000,BLUETOOTH
WEKA,RF,70.0000,WIFI
JSAT,NB,70.0000,"WIFI,BLUETOOTH"
JAVAML,RF,70.0000,WIFI
JSAT,RF,70.0000,WIFI
JSAT,NB,70.0000,"WIFI,BLUETOOTH,GSM"
JSAT,NB,70.0000,BLUETOOTH
WEKA,KNN,60.0000,"WIFI,BLUETOOTH,GSM"
WEKA,RF,60.0000,"WIFI,GSM"
JAVAML,NB,60.0000,WIFI
JSAT,RF,60.0000,"WIFI,BLUETOOTH"
WEKA,KNN,60.0000,"BLUETOOTH,GSM"
WEKA,NB,60.0000,"WIFI,BLUETOOTH"
WEKA,NB,60.0000,"WIFI,BLUETOOTH,GSM"
JSAT,KNN,60.0000,"WIFI,GSM"
WEKA,RF,60.0000,"BLUETOOTH,GSM"
JAVAML,KNN,60.0000,"WIFI,BLUETOOTH"
WEKA,NB,50.0000,WIFI
JSAT,KNN,50.0000,"WIFI,BLUETOOTH"
JSAT,RF,50.0000,"BLUETOOTH,GSM"
WEKA,NB,50.0000,"BLUETOOTH,GSM"
WEKA,NB,50.0000,"WIFI,GSM"
JSAT,KNN,50.0000,WIFI
JAVAML,RF,50.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,50.0000,"WIFI,BLUETOOTH"
WEKA,KNN,50.0000,"WIFI,GSM"
JAVAML,KNN,50.0000,"WIFI,GSM"
WEKA,NB,50.0000,BLUETOOTH
JAVAML,NB,50.0000,BLUETOOTH
JSAT,KNN,40.0000,GSM
WEKA,RF,40.0000,GSM
JAVAML,RF,40.0000,GSM
WEKA,NB,40.0000,GSM
JSAT,KNN,40.0000,"BLUETOOTH,GSM"
JSAT,NB,40.0000,GSM
JAVAML,KNN,30.0000,GSM
JSAT,KNN,30.0000,"WIFI,BLUETOOTH,GSM"
JSAT,RF,30.0000,"WIFI,GSM"
WEKA,KNN,30.0000,GSM
JAVAML,RF,30.0000,"BLUETOOTH,GSM"
JAVAML,KNN,20.0000,"WIFI,BLUETOOTH,GSM"
JAVAML,NB,20.0000,"BLUETOOTH,GSM"
JAVAML,NB,20.0000,"WIFI,GSM"
JSAT,RF,20.0000,GSM
JAVAML,KNN,20.0000,"BLUETOOTH,GSM"
JAVAML,NB,20.0000,GSM
JAVAML,NB,20.0000,"WIFI,BLUETOOTH,GSM"
